Name_number;Name_submitted;Name_matched;Name_matched_accepted_family;Genus_matched
0;Acacia holosericea;Acacia holosericea;Fabaceae;Acacia
1;Adansonia digitata;Adansonia digitata;Malvaceae;Adansonia
2;Afzelia africana;Afzelia africana;Fabaceae;Afzelia
3;Afzelia bella;Afzelia bella;Fabaceae;Afzelia
4;Afzelia bipindensis;Afzelia bipindensis;Fabaceae;Afzelia
5;Afzelia bracteata;Afzelia bracteata;Fabaceae;Afzelia
6;Afzelia indet;Afzelia;Fabaceae;Afzelia
7;Afzelia pachyloba;Afzelia pachyloba;Fabaceae;Afzelia
8;Afzelia parviflora;Afzelia parviflora;Fabaceae;Afzelia
9;Afzelia quanzensis;Afzelia quanzensis;Fabaceae;Afzelia
10;Aidia ochroleuca;Aidia ochroleuca;Rubiaceae;Aidia
11;Alangium chinense;Alangium chinense;Cornaceae;Alangium
12;Albizia adianthifolia;Albizia adianthifolia;Fabaceae;Albizia
13;Albizia dinklagei;Albizia dinklagei;Fabaceae;Albizia
14;Albizia ferruginea;Albizia ferruginea;Fabaceae;Albizia
15;Albizia glaberrima;Albizia glaberrima;Fabaceae;Albizia
16;Albizia grandibracteata;Albizia grandibracteata;Fabaceae;Albizia
17;Albizia gummifera;Albizia gummifera;Fabaceae;Albizia
18;Albizia indet;Albizia;Asteraceae;Albizia
19;Albizia lebbekoides;Albizia lebbekoides;Fabaceae;Albizia
20;Albizia procera;Albizia procera;Fabaceae;Albizia
21;Albizia versicolor;Albizia versicolor;Fabaceae;Albizia
22;Albizia zygia;Albizia zygia;Fabaceae;Albizia
23;Allanblackia floribunda;Allanblackia floribunda;Clusiaceae;Allanblackia
24;Allanblackia parviflora;Allanblackia parviflora;Clusiaceae;Allanblackia
25;Allanblackia stanerana;Allanblackia staneriana;Clusiaceae;Allanblackia
26;Allanblackia stuhlmannii;Allanblackia stuhlmannii;Clusiaceae;Allanblackia
27;Allophylus abyssinicus;Allophylus abyssinicus;Sapindaceae;Allophylus
28;Allophylus africanus;Allophylus africanus;Sapindaceae;Allophylus
29;Alstonia boonei;Alstonia boonei;Apocynaceae;Alstonia
30;Alstonia congensis;Alstonia congensis;Apocynaceae;Alstonia
31;Alstonia macrophylla;Alstonia macrophylla;Apocynaceae;Alstonia
32;Amblygonocarpus andongensis;Amblygonocarpus andongensis;Fabaceae;Amblygonocarpus
33;Amphimas ferrugineus;Amphimas ferrugineus;Fabaceae;Amphimas
34;Amphimas indet;Amphimas;Fabaceae;Amphimas
35;Amphimas pterocarpoides;Amphimas pterocarpoides;Fabaceae;Amphimas
36;Anacardium occidentale;Anacardium occidentale;Anacardiaceae;Anacardium
37;Andira inermis;Andira inermis;Fabaceae;Andira
38;Anisophyllea laurina;Anisophyllea laurina;Anisophylleaceae;Anisophyllea
39;Anisophyllea obtusifolia;Anisophyllea obtusifolia;Anisophylleaceae;Anisophyllea
40;Annickia chlorantha;Annickia chlorantha;Annonaceae;Annickia
41;Annickia polycarpa;Annickia polycarpa;Annonaceae;Annickia
42;Anonidium mannii;Anonidium mannii;Annonaceae;Anonidium
43;Anopyxis klaineana;Anopyxis klaineana;Rhizophoraceae;Anopyxis
44;Anthocleista grandiflora;Anthocleista grandiflora;Gentianaceae;Anthocleista
45;Anthocleista indet;Anthocleista;Gentianaceae;Anthocleista
46;Anthocleista nobilis;Anthocleista nobilis;Gentianaceae;Anthocleista
47;Anthonotha fragrans;Anthonotha fragrans;Fabaceae;Anthonotha
48;Anthonotha macrophylla;Anthonotha macrophylla;Fabaceae;Anthonotha
49;Anthostema aubryanum;Anthostema aubryanum;Euphorbiaceae;Anthostema
50;Antiaris indet;Antiaris;Moraceae;Antiaris
51;Antiaris toxicaria;Antiaris toxicaria;Moraceae;Antiaris
52;Antrocaryon klaineanum;Antrocaryon klaineanum;Anacardiaceae;Antrocaryon
53;Antrocaryon micraster;Antrocaryon micraster;Anacardiaceae;Antrocaryon
54;Antrocaryon nannanii;Antrocaryon nannanii;Anacardiaceae;Antrocaryon
55;Aoranthe cladantha;Aoranthe cladantha;Rubiaceae;Aoranthe
56;Aphanocalyx heitzii;Aphanocalyx heitzii;Fabaceae;Aphanocalyx
57;Apodytes dimidiata;Apodytes dimidiata;Icacinaceae;Apodytes
58;Artocarpus altilis;Artocarpus altilis;Moraceae;Artocarpus
59;Aucoumea klaineana;Aucoumea klaineana;Burseraceae;Aucoumea
60;Autranella congolensis;Autranella congolensis;Sapotaceae;Autranella
61;Baikiaea insignis;Baikiaea insignis;Fabaceae;Baikiaea
62;Baikiaea plurijuga;Baikiaea plurijuga;Fabaceae;Baikiaea
63;Baillonella djave;Baillonella djave;Sapotaceae;Baillonella
64;Baillonella toxisperma;Baillonella toxisperma;Sapotaceae;Baillonella
65;Balanites aegyptiaca;Balanites aegyptiaca;Zygophyllaceae;Balanites
66;Baphia kirkii;Baphia kirkii;Fabaceae;Baphia
67;Baphia nitida;Baphia nitida;Fabaceae;Baphia
68;Barringtonia racemosa;Barringtonia racemosa;Lecythidaceae;Barringtonia
69;Beilschmiedia corbisieri;Beilschmiedia corbisieri;Lauraceae;Beilschmiedia
70;Beilschmiedia diversiflora;Beilschmiedia diversiflora;Lauraceae;Beilschmiedia
71;Beilschmiedia hutchinsoniana;Beilschmiedia hutchinsoniana;Lauraceae;Beilschmiedia
72;Beilschmiedia indet;Beilschmiedia;Lauraceae;Beilschmiedia
73;Beilschmiedia kweo;Beilschmiedia kweo;Lauraceae;Beilschmiedia
74;Beilschmiedia letouzeyi;Beilschmiedia letouzeyi;Lauraceae;Beilschmiedia
75;Beilschmiedia louisii;Beilschmiedia louisii;Lauraceae;Beilschmiedia
76;Beilschmiedia mannii;Beilschmiedia mannii;Lauraceae;Beilschmiedia
77;Beilschmiedia membranifolia;Beilschmiedia membranifolia;Lauraceae;Beilschmiedia
78;Beilschmiedia nitida;Beilschmiedia nitida;Lauraceae;Beilschmiedia
79;Beilschmiedia oblongifolia;Beilschmiedia oblongifolia;Lauraceae;Beilschmiedia
80;Berchemia discolor;Berchemia discolor;Rhamnaceae;Berchemia
81;Berchemia zeyheri;Berchemia zeyheri;Rhamnaceae;Berchemia
82;Berlinia acuminata;Berlinia acuminata;Fabaceae;Berlinia
83;Berlinia auriculata;Berlinia auriculata;Fabaceae;Berlinia
84;Berlinia bracteosa;Berlinia bracteosa;Fabaceae;Berlinia
85;Berlinia confusa;Berlinia confusa;Fabaceae;Berlinia
86;Berlinia grandiflora;Berlinia grandiflora;Fabaceae;Berlinia
87;Berlinia indet;Berlinia;Fabaceae;Berlinia
88;Berlinia niembaensis;Berlinia niembaensis;Fabaceae;Berlinia
89;Berlinia viridicans;Berlinia viridicans;Fabaceae;Berlinia
90;Bersama abyssinica;Bersama abyssinica;Melianthaceae;Bersama
91;Bischofia javanica;Bischofia javanica;Phyllanthaceae;Bischofia
92;Blighia sapida;Blighia sapida;Sapindaceae;Blighia
93;Blighia unijugata;Blighia unijugata;Sapindaceae;Blighia
94;Blighia welwitschii;Blighia welwitschii;Sapindaceae;Blighia
95;Bombax brevicuspe;Bombax brevicuspe;Malvaceae;Bombax
96;Bombax buonopozense;Bombax buonopozense;Malvaceae;Bombax
97;Bombax ceiba;Bombax ceiba;Malvaceae;Bombax
98;Bombax costatum;Bombax costatum;Malvaceae;Bombax
99;Bombax indet;Bombax;Malvaceae;Bombax
100;Bombax rhodognaphalon;Bombax rhodognaphalon;Malvaceae;Bombax
101;Brachylaena huillensis;Brachylaena huillensis;Asteraceae;Brachylaena
102;Brachystegia appendiculata;Brachystegia appendiculata;Fabaceae;Brachystegia
103;Brachystegia boehmii;Brachystegia boehmii;Fabaceae;Brachystegia
104;Brachystegia cynometroides;Brachystegia cynometroides;Fabaceae;Brachystegia
105;Brachystegia eurycoma;Brachystegia eurycoma;Fabaceae;Brachystegia
106;Brachystegia indet;Brachystegia;Fabaceae;Brachystegia
107;Brachystegia laurentii;Brachystegia laurentii;Fabaceae;Brachystegia
108;Brachystegia leonensis;Brachystegia leonensis;Fabaceae;Brachystegia
109;Brachystegia mildbraedii;Brachystegia mildbraedii;Fabaceae;Brachystegia
110;Brachystegia nigerica;Brachystegia nigerica;Fabaceae;Brachystegia
111;Brachystegia spiciformis;Brachystegia spiciformis;Fabaceae;Brachystegia
112;Brachystegia zenkeri;Brachystegia zenkeri;Fabaceae;Brachystegia
113;Breonadia salicina;Breonadia salicina;Rubiaceae;Breonadia
114;Breviea sericea;Breviea sericea;Sapotaceae;Breviea
115;Bridelia grandis;Bridelia grandis;Phyllanthaceae;Bridelia
116;Bridelia micrantha;Bridelia micrantha;Phyllanthaceae;Bridelia
117;Bridelia ndellensis;Bridelia ndellensis;Phyllanthaceae;Bridelia
118;Broussonetia greveana;Broussonetia greveana;Moraceae;Broussonetia
119;Burkea africana;Burkea africana;Fabaceae;Burkea
120;Bussea occidentalis;Bussea occidentalis;Fabaceae;Bussea
121;Calodendrum capense;Calodendrum capense;Rutaceae;Calodendrum
122;Calpocalyx brevibracteatus;Calpocalyx brevibracteatus;Fabaceae;Calpocalyx
